__Blurryface__,普通用户,广东 深圳,疫情让蛋糕实现了咸蛋黄自由 ?,收藏转发评论 3赞1,02月01日 22:58iPhone客户端
Euuuuux,普通用户,广东 深圳,妖魔鬼怪快离开 #新冠肺炎# #动图# #像素画# ?,收藏转发 6评论 11赞25,02月01日 22:47iPhone X
F_Y_J_,普通用户,北京 朝阳区,抗击疫情 人人有责 请不要自私自利！ ?,收藏转发评论赞,02月01日 22:58iPhone客户端
Faraway_Xin,普通用户,浙江 宁波,第338天，让黑暗的1月赶快翻篇吧“抗击新冠病毒，太平洋保险在行动”，欢迎同事、朋友奉献一份爱心，扫二维码一起支持武汉。加油中国！ ?,收藏转发评论赞,02月01日 22:35单向历
fishyingjie小宝宝,普通用户,其他,//分享网易新闻:《新冠病毒很狡猾 有研究称病毒率先攻击人体深处肺泡》 O新冠病毒很狡猾 有研究称病毒率先攻击人体深处肺泡 @网易新闻客户端 #网易新闻# ?,收藏转发评论赞,02月01日 22:25iPhone客户端
Flip-Flops人字拖,普通用户,福建 厦门,望周知『美国首例新冠肺炎患者康复，独家专访跨洋喊话“特效药”的华人科学家』O美国首例新冠肺炎患者康复，独家专访跨洋喊话“特效药”的华人科学家 ?,收藏转发评论赞,02月01日 22:12iPhone客户端
Fluorite_Yu,普通用户,吉林 吉林,是什么支撑着我明天回北京工作？#疫情仍处于扩散阶段# ?,收藏转发评论赞1,02月01日 22:59iPhone客户端
FM896鄂尔多斯之声,蓝V,None,#众志成城 抗击疫情# 【@鄂尔多斯市本级公租房住户！这些人在2月9日前勿返回！】#万众一心抗击新冠肺炎##鄂尔多斯身边事##鄂尔多斯热闻##鄂尔多斯便民资讯# 鄂尔多斯市保障性住房建设管理中心关于做好市本级公共租赁住房承租人员疫情防控工作的通知鄂尔多斯市本级公共租赁住房承租企事业单位及个人:       市本级公租房人口密度大，人员结构复杂，人员流动频繁，疫情防控工作难度极大。为从严落实疫情防控各项措施，保障市本级公租房居住人员的身体健康和生命安全。现将做好市本级公租房疫情防控工作有关事宜通知如下。一、严格执行企业复工时间       按照《内蒙古自治区人民政府办公厅关于延迟企业复工、学校开学和行政事业单位实行弹性工作制的通知》( 内政办发电[2020]5号)文件精神，“自治区各类企业不早于2月9日24时前复工”的规定，原则上要求承租市本级公租房的各企事业单位及个人，目前在鄂尔多斯市中心城区范围以外居住的，在2月9日前不得返回入住公租房。二、严密跟踪已返回人员       文件下发时已从鄂尔多斯市中心城区范围以外返回公租房入住的人员，要严格按照鄂尔多斯市新型冠状病毒感染的肺炎疫情防控指挥部第1号令、第2号令、第4号令的有关规定，已经在家的且无相关症状者采取居家隔离，如有发热、咳嗽等相关症状者，一律安排到指定医院进行检测并隔离观察，具体隔离观察时间以社区或医院规定的时间为准。各承租企事业单位要承担防控工作主体责任，委派专人对返回入住公租房的职工进行隔离，进行监督检查。承租个人已返回入住公租房的要第一时间告知各地块楼栋社区防控点，做好自身隔离。       各承租企事业单位及个人要严格执行国家、自治区及我市疫情防控有关规定，积极主动配合社区、公安、物业等相关单位进行疫情防控工作。不走亲访友、不聚餐、不传谣，管好自己，管好家人。对拒不配合防控工作的承租企事业单位及个人，鄂尔多斯市保障性住房建设管理中心将向承租人下达房屋腾退通知，超过规定期限10日拒不腾退的，我中心将向人民法院提起诉讼。       如复工时间、防控规定等国家、自治区及我市有新要求，按新要求执行。               鄂尔多斯市保障性住房建设管理中心                           2020年1月31日来源：鄂尔多斯市保障性住房建设管理中心 2鄂尔多斯 收起全文d,收藏转发 1评论赞,02月01日 22:46前置双摄vivo X9
FM896鄂尔多斯之声,蓝V,None,#众志成城 抗击疫情# 【鄂尔多斯市疫情防控指挥部发布重要通告！】#万众一心抗击新冠肺炎##鄂尔多斯热闻# 鄂尔多斯市新型冠状病毒感染的肺炎疫情防控指挥部关于公布疫情防控指挥部及咨询举报电话的通告       按照自治区新型冠状病毒感染的肺炎疫情防控指挥部统一要求部署，我市新型冠状病毒感染的肺炎疫情防控指挥部(下称疫情指挥部)现搬迁至市党政大楼B座二楼B6、B7会议室集中办公，现将办公及咨询、举报电话公布如下。疫情指挥部电话:0477-85897860477-83228090477-8322063疫情指挥部传真:0477-8589900疫情相关举报电话:0477-85899050477-8588120疫情相关信息咨询电话:0477-8588120                     鄂尔多斯市新型冠状病毒感染的                               肺炎疫情防控指挥部                                     2020年2月1日来源：鄂尔多斯日报 2鄂尔多斯 收起全文d,收藏转发评论赞,02月01日 22:41前置双摄vivo X9
FM903安庆综合广播,蓝V,None,【安庆市税务局全力投入 坚决打赢疫情防控狙击战】      新型冠状病毒感染的肺炎疫情牵动着14亿国人的心。对疫情防控，安庆市税务局高度重视，积极行动，坚定不移落实党中央决策部署，坚决打赢疫情防控阻击战。      大年初二，市税务局党委书记、局长方遒率先返回工作岗位，与相关部门负责人研究疫情防控工作，当日迅速建立疫情信息联络机制，启动重点人员排查机制和每日信息报告制度，主要负责人随时掌握本系统疫情防控情况。      随后，安庆市税务局印发《做好全市税务系统新型冠状病毒感染的肺炎防控工作的通知》，要求把思想和行动统一到党中央关于疫情防控的决策部署上来，守土有责，守土尽责，切实抓好本机关本系统的疫情防控工作；成立由市局党委书记任组长的全市税务系统新型冠状病毒感染的肺炎疫情防控工作领导小组，负责本系统疫情防控工作的领导、统筹协调，研究解决疫情防控工作中的重大问题；召开疫情防控领导小组会议，总结市局机关疫情防控措施落实情况，重点部署节后上班期间的疫情防控工作……连日来，全市税务系统全部紧急行动起来，根据地方党委政府和系统内要求投身疫情防控工作。      节日期间，各单位迅速通知每一位干部职工减少外出和访亲访友，降低疫情传播扩散风险。同时，要求做到不信谣、不传谣，维护社会大局稳定。税收宣传中心通过网站、微信公众号等平台，有针对性地开展新型冠状病毒感染等传染病防控知识宣传，发布健康提示和就医指南，科学指导干部职工正确认识和预防疾病，引导和规范防控行为。办公室每天安排人员到岗，重点接收、处理、发布疫情防控相关文件，定点落实重点人员排查制度和每日疫情信息报告制度。      宣传引导做到全方位，排查摸底也要全覆盖。      全市税务系统对节日期间离开安庆市、去过武汉市的人员，或者与确诊患者、疑似患者（包括本市和市外）有密切接触或乘坐交通工具、出入场所有交集的人员等情况进行全面摸排。同时，坚持每日报送统计本单位干部职工健康状况，严格执行24小时值班制度，保持值班通讯畅通，决不允许出现擅自外出或脱岗的现象。市局值班人员在做好值守的同时，每天对县区局值班情况开展抽查。      各地在强化内部防控的同时，坚持在落实地方联防联控措施、履行公益服务等方面作表率，科学参与群防群治。各单位税务党员干部配合街道社区，开展“党员、干部进社区”疫情防控包保有关工作。从1月31日起，市局机关领导轮流带队税务党员干部进驻石化路街道办事处大湖社区，采取登记排查、到户走访等方式，协助社区做好摸排、劝导、值班值守等工作，广泛宣传防控知识，引导群众增强自我防护意识。      目前，市税务局正在抓紧做好节后上班前防控物资准备。机关服务中心已通过多种渠道采购口罩、手套和消毒物品等，准备好体温计、红外体温测量仪。按照对公共场所的防治工作要求，提前对办公室、职工食堂、楼道、电梯、值班室等场所通风消毒，以保障节后税收工作的正常开展。      建立起每日体温测量等制度，拟每天安排专人对税务人员、纳税人及缴费人逐一测量，遇到异常情况及时报告，保障税务干部职工和广大纳税人、缴费人的健康和安全。      办税服务厅作为纳税人、缴费人集中办理税费业务的公共场所，是疫情防范的重点区域。为保障公众健康，市税务局加强办税服务厅管理，已经为窗口配备充足的口罩、手套、手持体温枪等必需的防护用品，提前做好办税服务厅通风、消毒等工作。同时，纳税服务科利用网站、微信群、QQ群等渠道，加强对纳税人、缴费人的宣传，引导、提醒他们选择通过电子税务局等网上渠道办理涉税事项，尽量减少实体办税厅办税。 2安庆·安庆广播电视台 收起全文d,收藏转发评论赞,02月01日 22:59荣耀手机 勇敢做自己
FM93浙江交通之声,蓝V,None,【浙江省派出高级别专家组赴武汉开展新冠肺炎重症病人救治指导工作 #李兰娟院士#领衔】今晚九点，浙江省派出的高级别专家组赴武汉开展新冠肺炎重症病人救治指导工作。医疗队由李兰娟院士领衔，浙医一院陈作兵副院长等十位专家组成，携带了专业的医疗救治设备，专门救治危重症病人。#防控疫情浙江在行动# LFM93浙江交通之声的微博视频 收起全文d,收藏转发 9评论 14赞41,02月01日 22:20HUAWEI Mate30 Pro 5G
FM988浙江新闻,蓝V,None,【杭州市决定，市民预约口罩，统一配送上门】#防控疫情浙江在行动##关注新冠肺炎##武汉加油，浙里挺你#关于预约发放口罩的补充说明今天下午，我市发布了向急需口罩的市民提供少量口罩的公告后，广大市民非常关注，提出了许多好的建议。为减少人员流动和集聚，经研究，决定对市民成功预约的口罩，我们将统一配送上门。这部分民用口罩是爱心人士捐赠的，数量十分有限，敬请理解。下一步我们还将视情再作评估和调整。我们再次呼吁广大市民居家休息，减少外出。杭州市冠状病毒肺炎防控指挥部2020年2月1日 收起全文d,收藏转发评论赞1,02月01日 22:32专业版微博
FM989综合广播欣悦,普通用户,河南 平顶山,【非洲国家博茨瓦纳发现首例新冠疑似病例】当地时间1月31日，非洲内陆国博茨瓦纳发现首例新型冠状病毒肺炎疑似病例。疑似病人从中国出发乘埃塞航飞机于1月30日抵达博茨瓦纳首都机场，在机场被检测出疑似症状。 L澎湃视频的微博视频 ?,收藏转发评论赞1,02月01日 22:19HUAWEI Mate 20
fox五行缺觉,普通用户,湖南,真的微博百分之4本科率，要不是追星，谁特么玩微博啊！有感新冠病毒人造言论而发！ ?,收藏转发评论赞1,02月01日 22:37Redmi Note 8 Pro四摄
freexuhui,普通用户,上海,#乐宝乐事# “乐宝讲自己的故事”，《上网课》。       因为疫情的原因，本来我要在教室里上的辅导课换成了网课。这个网课是在Classin上的，初一看这个软件好像只能容纳8个人，屏幕上只能显示出8个人，其他几个人难道不能上去吗？其实不是的，这个classin有上下台功能，就是上课的同学轮流着上，这样大家都可以出现在屏幕上。今天上网课最大的问题就是经常掉线，我和爸爸本来以为是我们家网络的问题呢，其实不是的，很多同学都不断掉下网，是这个软件的服务器不行。上网课的太多了！到了11:00，很多课开课了，但是很多课包括我们都没有下课，这个服务器就挤爆了，然后就炸了，我们班所有人都下线了，只好又开了一个“房间”，这才继续教课的。我希望网课能和普通课一样，不要断断续续。 收起全文d,收藏转发评论赞,02月01日 22:58HUAWEI P30
